,system_id,time,instantaneous_power_W,temperature_C,voltage,latitude,longitude,alnid,alnip,aluvd,aluvp,bld,blh,cape,cbh,cdir,cp,crr,csf,d2m,deg0l,dndza,dndzn,dwi,fdir,hcc,ie,ilspf,ishf,kx,lcc,lsf,lsp,lsrr,mcc,pev,ptype,skt,slhf,sp,ssr,ssrc,ssrd,ssrdc,str,strc,strd,strdc,t2m,tcc,tciw,tclw,tcwv,tisr,totalx,tp,tsr,tsrc,ttr,ttrc,u10,u100,u10n,uvb,v10,v100,wind
63,1293,2022-01-01 14:45:00,132.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1293,2022-01-01 14:15:00,204.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1293,2022-01-01 09:30:00,84.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1452,2022-01-01 15:00:00,1677.5,,,45.5,10.25,0.19154546,0.18032356,0.05495429,0.0521065,316.0,60.840576,0.0,203.15723,281522.0,0.0,2.3283064e-10,0.0,278.2395,3683.2202,0.23492597,0.3513786,,257109.38,0.044130445,8.9997775e-07,0.0,7.54718,-17.094627,0.060336024,0.0,-9.313226e-10,0.0,0.0,-9.424111e-06,0.0,280.15445,-18765.875,99276.83,361356.88,337047.0,420404.38,442804.12,-327688.3,-323924.62,964528.3,936085.1,283.2589,0.10443592,5.6266785e-05,0.006710291,7.2606964,818538.6,30.635145,0.0,595221.0,570359.9,-938843.5,-926500.2,0.4135785,0.9144366,0.20257282,41400.61,0.40219057,0.30351996,
67,1452,2022-01-01 12:00:00,2985.0,,,45.5,10.25,0.19157507,0.18039128,0.054968476,0.052120715,357.3125,106.82031,0.0,198.41504,964668.25,0.0,2.3283064e-10,0.0,277.81485,3681.6338,0.36481908,0.53894675,,586845.0,0.30905038,-1.9168743e-05,0.10013276,-25.83635,-16.781109,0.024537265,0.0,-9.313226e-10,0.0,0.0,-8.319644e-05,1.0000458,285.12787,-176926.0,99346.95,838039.1,948847.1,963739.6,1246566.0,-274431.1,-337715.4,1048938.9,928088.5,282.464,0.31570354,0.0010975003,0.008723497,7.23913,1847148.8,31.066626,0.0,1279348.2,1372134.1,-927469.4,-919312.4,0.99868596,1.368778,0.90198994,100084.95,0.60777557,0.87317264,
68,1452,2022-01-01 10:30:00,2384.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1452,2022-01-01 12:15:00,2863.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1452,2022-01-01 12:30:00,3028.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1452,2022-01-01 15:15:00,1422.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1452,2022-01-01 08:30:00,194.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1452,2022-01-01 08:45:00,373.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1452,2022-01-01 14:45:00,1934.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1452,2022-01-01 13:30:00,2756.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1452,2022-01-01 09:45:00,1746.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1452,2022-01-01 11:45:00,2896.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1452,2022-01-01 10:45:00,2565.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1452,2022-01-01 09:30:00,1490.5,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1452,2022-01-01 15:30:00,1099.5,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1452,2022-01-01 15:45:00,760.0,,,45.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
